what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1329090768708
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1329090775211
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1329090781321
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1329090781678
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1329090802298
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1329090809691
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1329090811194
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1329090826507
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329090846718
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329090925530
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1329090940793
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1329090952488
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329090954283
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1329090954905
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1329090958494
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.navigate.opentype",1329090958500
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329090958538
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1329090977438
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329090998439
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329091007571
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1329091010459
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329091027628
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329091031120
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1329091048089
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1329091048584
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1329091049621
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1329091050920
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1329091054636
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1329091055138
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329091059570
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329091065488
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329091069282
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329091072773
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1329091085063
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1329091086055
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329091086464
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329091087870
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1329091089713
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1329091089849
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329091154559
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329091166768
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1329091180280
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1329091181624
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329091182067
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329091185930
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329091207835
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329091255669
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329091274345
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329091277506
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1329091277879
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.shiftLeft",1329091279409
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.shiftLeft",1329091280249
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1329091283894
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1329091287622
