what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1329092846930
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329092846980
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329092852158
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.properties",1329092875079
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329092875311
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1329092876599
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329092877026
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329092879597
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1329092879763
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1329092898631
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329092909018
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329092992375
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1329092997408
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329093000168
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1329093011149
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329093011216
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329093011668
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329093061796
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1329093062203
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1329093063410
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1329093064439
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329093064880
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1329093067568
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1329093071533
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1329093071533
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1329093082982
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1329093083361
